Label,Lemmatized_Tweets
Pozitif,tecavüz müebbet işkence caydırmak süre hapis ceza almak dünya Sahib sen ben herkes had bilmek artık
Pozitif,Can abla ben Mübarek kadir gece i çten Dilek kutlamak el öpmek allahu Teala sen aile sevmek esmek dilemek binmek Ay hayır olmak Mübarek gece dua olmak
Negatif,ağlamak kurban olmak olmak ağlamak
Negatif,yarı saat izlemek adam yapmak sarı görmek önce uyarı falan almak ana sikmek siz ben orospu Çocuk
Negatif,gün söylemek Se iddia olmak ortalık ayak kalmak bir derken kuru kapamak ısrar üzeri kuru bir görmek anlam söylemek bir söz imek Mill eğitim çalışmak malesef sözde öğretmen yapmak ahlak iç okul kapamak
Negatif,arjantin i tümü yok ede bun sorun
Negatif,evet olmak sıkıcı olmak
Negatif,hâl olmak Mut olmak insan rastlamak
Negatif,ben bişi yapmak sefer Gü anne yapmak speak No evil_monkey see No evil_monkey
Negatif,yarmak cumartesi müsait de Sex istemek 190 90 Full aktif musait olmak yazsin
Negatif,başlıyacam şimdi hazırlık dost maç çıkmak gelmek Ne abi lig başlamak sakatlamak
Negatif,kimse bir şey anlatmak çabalamak kimse kaybetmek kazanmak uğraşmak zaten herkes anlamak istemek anlamak bir şey olmak varmak su akmak bir şekil yol bulamak
Negatif,Ö bişey Mi demek ben sen ben sen demek euro 6 Tl olmak sevmek Ülkem yaşamak çalışmak se anlamak siz orda algı bişey Mi iciriyorlar
Negatif,hayat ben istemek yapmak ben uyanmak
Negatif,ora boş olmak gece orda uyuycam aq
Negatif,göz kapamak deri deri nefes almak on düşünmek çalışmak
Negatif,Galatasaray maç penaltı vermek fener maç Şenol güneş bordo mavi giyinmek yüz şampiyon olamıyos Bırak işleride bi gitmek artık yaw
Negatif,takip eder Mi Gt yapmak Turkey
Negatif,swarm kul hoşlanmak sebep bilmek
Negatif,dünya eşit adalet savaş vahşî yapılanmak katliam sorumlu bir tane örnek göstermek Mi dünya kapitalist sistem acımasız karşı çıkmak insan Hak özgürlük savunmak biri bun prens hazret yakışmak
Negatif,Günaydın demek hale uymak
Negatif,kandırmak alışmak on insan toplamak uzun kısa doğru sol baş Sabit dirsek temas ara hiza girmek hepsi tepmek etmek
Pozitif,mutsuz fark olmak kendi Mut sanmak insan görmek ürpermek Fernando Pessoa
Pozitif,dün bölüm sahne tekrar bir göz At bir kenar Gerçek güzel bir dizim varmak hileon demek kalmak on mükemmel aşk hikâye özlemek
Pozitif,canımm tel gelmek üst üs özledimm senii çokk hediyemucizem
Pozitif,uyumak istemek yine rüya se göremiycem
Pozitif,doğru söylemek bok yemek tepki vermek eksik gidermek
Pozitif,eyt halk seçim kadar Hak almak almak iktidar oy vermek artık
Pozitif,futbol artık alt yapı kluplerle abi amca büyük bağlantı olmak insan yuva olmak Mill tak para olmak varmak sistem Başar beklemek zor yetenek olmak insan kadar antrenman yüklesende sonuç böyle olmak
Pozitif,Artik umur olmaz ben demek demek tur kafa kafa bir icerim tertemiz kendi gelmek Allah belâ vermek ben radde getirmek tertemiz tertemiz
Pozitif,Kanki yalnız bırakmak koşmak Peşinde çabuk otobüs kalkmak
Pozitif,ayy Allah koru galiba gizli âşık olmak
Pozitif,emin olmak hala il ilçe bel bölge rahat rahat kalırsın kardeş Mill görmek böyle bir
Negatif,Hadi bir soru ben sormak eş ayn yer çalışmak istemek Mi iyi düş sevgili yâd flört değmek eş
Negatif,Ahmet efendi pek alçak sebep olmak infaz yapacaz varmak mantık bir cevap yüz insan işkence etmek yar insan olmak sebep olmak Hadi kemkum etmek cevap vermek
Negatif,saç istemek sürmek işemek yarmak
Negatif,gerek şey takılmak amaç üzüm yemek değmek bağ dövmek
Negatif,onmak bun fotoğraf takip etmek
Negatif,merhaba arkadaş hoş gelmek iz
Negatif,bi Li yorum nolur Deva et wğclwoxn
Negatif,kadar rahat Bırak konuşmak istemek
Negatif,Günaydın demek hale uymak
Negatif,i nsanların Büyük bölü Sağlık abartı bir altrüizm yol hayat ziya etmek hatta ziya etmek zor
Negatif,yüce Rabbi kul sağ gidi skilli Mi eklemek benimki Sade fikir yine se Bilir tâbi
Negatif,kaybolmak Çocuk Rize vali 4 5 yaş olmak Çocuk orman alan sağmak olmak bulmak Sağlık durum iyi Şükür
Negatif,uyanmak yine Günaydın
Negatif,bir istemek hayat bir sevgili meselâ çalışabilir durum bir bey olmak kendi vazgeçilmez görmek yetmek
Negatif,gönül hoşgörü yüz tebessüm eksik olmak kadir gece Mübarek olmak
Negatif,Altay Vedat fer üç puan siz borç teşekkür Çocuk
Negatif,sevgili lütuf görmek zaman sevmek kolay pek kahır görmek sevebilir Mi
Negatif,top sözleşme biri kayırılması değmek herkes sağlamak bir imkân
Negatif,i skendere alternatif olmak pide köfte yemek tercih eder Kayhan yeşil yemek özellikle cuma gün gitmek bedava sınırsız süt helva İkra etmek harika
Negatif,ü ürkmek görmek arka N zaten Rus hayran Putin i Te Parma varmak oyun gelmek
Pozitif,eveetty yeni daslarımız gelmek hayır olmak
Pozitif,Chp i stiklal marş okumak Mill tak dünya kupa final çıkmak heyecanlanmak
Pozitif,eyvallah Mübarek emo_pos sela olmak vatan lider gece gün katmak Mücadele E 15 temmuz ruh Mill Cesur yürek
Pozitif,Beşiktaş çita yük Demba Ba Gomez abubakar dan sonra gelen forvet on kadar performans göstermek lazım durum uzun bir sürmek gelen forvet üzerinde ciddi Bask yaramak
Negatif,ölmek demek istemek lakin ölmek sonra tehlike anne evlât bırakmak se ben tekme tokat döversin cennet girmek yüz birbiri kandırmak lütfen
Negatif,kanka kocamak karga sahip evcil değmek gelmek durmak yer kafa kondu Kayra kadar varmak boyut
Negatif,sanat varmak arkadaş galiba 15 temmuz gece Yurt dış fa Türkiye olmadık vatan savunmak çıkmak dışarı gezi çıkmak
Negatif,bir krem göz yanmak
Negatif,beelki biraz ani olmak takk et Can
Pozitif,özetlemek kadar kel şey helâl olmak boşuna gitmek doğru doğru
Negatif,kadar Çook seviyorum nedeen
Negatif,çay siyanür katmak kin son hafta oynamak Trabzon saklamak üzmek siz
Negatif,ben Se geniş zaman olmak keşke sabah iş çıkmak yolmak yorgun ev dönmek meselâ hiçbişeyin olmak tūm sitem on
Negatif,asmak sivri sinek öldürmek seans ları kapamak kış gelmek
Negatif,bazen hızlı koşa yavaş koşa geçmek varmak hedef
Negatif,ak tröller de kadar provakatif bir varmak üst tak var si Z msi Ni Z
Negatif,Veda değmek sen dönmek yürek
Negatif,evcil lazım zaman se
Negatif,biri eş kız resmî gizli gizli Çek bun razı gösterecekmisiniz bey
Negatif,i Yi şey birden bir olmak kadar beklemek insan
Negatif,olmak olmak Türki yemek cumhuri yeti Ni N bir Kürt vatandaş olmak rağmen 22 se Chp Turkey inadına ata se gönül fethetmek mükemmel adam say ince
Negatif,i lk kadı hükümdar Tomris hatun
Negatif,düşmek gerekmek bir bey düşmek üzere
Negatif,adam yarmak lastik sıkıntı varmak şampiyon oluyo se pardon adam demek
Negatif,bütün Çocuk öldürsenizde elbet bir Musa sağmak kalacak
Negatif,se bi ar cok seviyordum şimdi degişti se
Negatif,se inmek plan bilmek yeterince saçmak değmek bir plan Yönet yormak Horzum son bölüm Ö çıkmaz girmek planlamak şey yapmak yüz yapmak şey bir kopuk varmak mantık hata varmak se inmek sena böyle bir yapmak imkân
Negatif,bır ayakkabı almak bır ayakkabı 500 lıra dıyıyor cocuk Mubarek gunde yalamak ıftıra bı koltuk ıcın yazık olmak sıze fetonun cocukları
Negatif,i nsanlar zulmetmek kader adalet A Hamid yalnız bırakmak bedel ödemek reisede vefa yapmak misil ödemek olmak olmak tanık
Negatif,aynen abi tek gaye Fenerbahçe şahsî olmak değmek istemek ali Koç Barcelona başkani ön iliklemek karşılamak ben başkan olmak demek Sana saygı hic polemige girip cevap vermek seviliyorsun
Negatif,çoğalmak yoksa olmak yer kalır akıl olmaz akıl varlık sürmek Mi Deva eder
Negatif,kendi demek ben yetmiyormuşcasına gece gece La casa papel Moskova ölmek bölü izlemek gözyaş ekran görmek engellemek anmak
Negatif,yâr cikip Ysk binmek detse sasirmam zira son merci demek gunah kecisi Ysk olmak
Negatif,jhope se bi taraf gelmek bişey söylicem
Negatif,avare yapmak ders çalışmak okul bitirmek amel Olur ders çalışıp üniversite bitirmek kesmek amel Olur
Negatif,ortalık am koymak bir gün waving_hand_medium light_skin_tone
Negatif,i nsanlar hediye koyucak boyut hediye paket bulmak dert bakmak mı
Negatif,biraz namus görünmek bastırmak cin dürtü zor kap kuvvet kul gidermek vazgeçmek gibi
Negatif,kalmak Be tamam uff cjsmndmfmgg
Negatif,şeref ekmek bulmak şeref bulmak
Negatif,kral de bayram namaz sonra ilk ben aramak bayram memleket olamayışıma yan dede ben aramak
Negatif,valla kötü Be kardeş saat balyoz sallamak 2 saat kal mesai bitmek ben bitmek iş bitmek
Negatif,yapmak hata değmek yapmak sonra duruşunuzla soğutuyosunuz insan kendi
Negatif,Erzurum A ev 20 dan 22 yaptırıyon değmek Ersu yanal Guardiola gelmek ifla olmaz bun
Negatif,i kinci şans sikmek insan As değişmez Thomas Shelby
Negatif,Can yakmak bir kaç detay varmak ben halledemiyodum
Negatif,i nsanlar siz eski kul değiştinizi Söyler
Negatif,birader se ben iti gelmek se Ba Ba üniversite Kürt komünist gerzek tokatlamak kral lavuk benzer üniversite Hasan şimşek Fırat Çakıroğlu Nu katletmek söylemek görmek zaten biri dağ çıkmak rahat olmak Sevil
Negatif,se aşk yazmak eş okumak dünya biz yetmek demek cennet ortak
Negatif,akmak Gide zaman izlemek yaşamak var
Negatif,Deva Deva Deva son kadar ölümüne Deva
Negatif,aşırı bi regl san sınav giriyorum bismillâh
Negatif,bir başka ak yüregini kolay okumak yüz on yargılamak acele etmek
Negatif,Köken alaka değmek bence Afrika açık giyinmek cin kimlik ziyade doğal bir çıplak var oymak bun teşhir varmak tamamen ABD popülizm kültür
Negatif,Hak ersuncaner uyum zevk 4 köşe etmek ummak devir ara getirmek
Negatif,muhalefet yalan Rte nin Gerçek sarpışıyor Rte yemek kadar saldırı olmak
Negatif,göremi yorum oruspu çocuk kelebek göremi yorum bi N kere denemek M kafayi Yi cem
Negatif,Amerika vergi baglayan tek devlet Osman i mparatorlugu durmak
Negatif,i stanbul A dönmek hemen spor Deva etmek negatif üzeri atmak hayat yeniden başlamak söz kendi
Negatif,Fırat Aydınus denemek futbol katil Babel penaltı vermek 90 7 vermek Aykut un demek maç 32 bitmek diğer eyyam Mete Kalkavan Kadıköy dek maç yine Babel gol vermek kim haketmek ortay çıkmak kupa siz zehir zıkkım Olur inşallah
Negatif,yarı saat önce kutsal aya girişmek yapmak kut olmak
Negatif,uyku düze bozulmak gerekmek yok böyle ekşınlara
Negatif,Dilek Han anne sevgili istemek olmak ihtimal iş yok
Negatif,tövbee neyse sormadim ben soru
Negatif,tamam aq anlamak Ay bir ayn tiviti atmak gerekmek yok
Negatif,yazık biz Gence yaş Hast et hep
Negatif,sen se seviyorum demek Çünki se gidermek maga Bee
Negatif,baba durum ak parti Deva nitelik Olur yine sıkıntı bence ileri ayrıca İmamoğlu ben gönül
Negatif,Sade Tayyip bey yapıyorsa zaten gerek olmak kendi ağız beyan et
Negatif,bronz çabalamak insan anlamak bronz sokak bile çıkmak istemek dere Dont Like
Negatif,aynen adaş hayat para bakmak maalesef
Negatif,kız kendi Can seviyormuş
Negatif,tesettür örtmek demek bol giyinmek demek edepli hayâ İffet olmak demek alıntı
Negatif,gün dişi sıkmak Ta enaz 1 5 saat mutfak yemek yapmak geçirmek olay tamamen usengeclikle alakali hazırı var kimse zahmet girismiyor Hersey bir yanmak encok Fast Food beslenen küçük üzülmek çoğu obez adayi şimdiden
Negatif,se ben fazla Seven biri bulmak bulmak onmak anmak avrat
Negatif,mutsuz değil hâl kalmak
Negatif,bugün cumartesi ben siz özlemek
Negatif,keşke Kürt böyle medenî kültür olmak heryer ortam Türk i çi N geçer
Negatif,Sağlık çalışanını korumak bir devlet görev
Negatif,sevgili arkadaş ara boza serefsizdir
Negatif,ben hiçbir şey unutmak ben ben yapılanı affetmek se defa hatta defa
Negatif,takip Bırak memleket yönetmek
Negatif,demek bulmak Allah son hayır et hayır neyse Ö olmak
Negatif,dolar Gü yetmek muharrem i N yemek proje demek Mi gülmek gülmek gülmek
Negatif,ben kafa sarı şapka bir o Tae Atar mı gün konser hâl
Negatif,Bilir Aşkın bedel gece 300 olmak
Negatif,hırs fiko 2 se hareket beklemek operasyon çocuk iş yapmak çekmek
Negatif,saat 4 5 Te banka kapamak kredi almak Anka İstanbul geçicem sabah Arab satış yapıcaz bun kal yatmak allahtan başka banka 10 dakikda halletmek iş Büyük pişman i
Negatif,bence olay değmek dalga dalga büyümek hdpkk lılara karşı evlât vermek demek ana isyan gelen bir emir bastırmak gündem değişmek algı korku olacak millet hdpkk yı silmek Turkey Turkey
Negatif,dalga fnansal klelerle İlgi Tweet atmak 30 dk iç 20 kişi 5 sene okul ücret karşılamak şey yazmak gram şaşırmak cidden
Negatif,hav yağmur bütün maç iptall
Negatif,bence biz tek sorun tak oyun oynamak on hallettigimizde Gerçek iyi tak olacagiz
Negatif,Selçuk artık penaltı atmak kaçırmak emin 2 metre fazla uzak top atmak
Negatif,aşırı doğru amca benzemek
Negatif,ede Se ede
Negatif,gazete ilân vermek para yok biz Twitter etkin yapalım demek 2019 Kpss önce 300 Guy ilân talep etmek
Negatif,destek yetki artmak Cb nın Mısır In i stikrarı ekonomik gelişim i Çin elzem olmak söylemek bun olmak durum Müslüman kardeş inmek geri gelmek tehdit bulmak tam böyle işte demokrasi sahip çıkamayan ülke o
Pozitif,gülmek zaman geliyosun ak birden ben gülmek fark etmek işte hüzün şey anlatmak
Pozitif,tebrik etmek siz ali bey keşke herkes memleket takım Tut
Negatif,Bird Erdoğan bun takmak sormak isim bile bilmek
Negatif,bakıyorumda satmak liste yine dost bildik varmak
Negatif,Ahmet çakar değmek Fake Mk hesap ulen vedo
Negatif,Sn bakan siz resmiyazi dediginiz Ne merak etmek kuru yöneticileri yazı hüküm yok biz çalışmak talep reddetmek
Pozitif,başta olmak üzere silâh arkadaş vatan uğur fedakâr yapan kahraman minnet yâd etmek
Pozitif,minik serçe se Mi
Negatif,Big hit para yok aq para yok arkadan çalacağim sen Şi mdi whiparam para para di yemek yetmek Artik
Negatif,anayasa mahkeme kapamak i stiklal mahkeme açmak terörist katil sapık önce gebermek sonra mahkeme ilâm ceset iğnelemek
Pozitif,kalp gümbür gümbür Türkiye gelmek açıklamak bir fotoğraf hale gelmek
Pozitif,yaz bitmek saymak henüz yan çömelmek sevgi Hak söyleşmek bodrum limon do sevgili
Pozitif,Bell kitle hitap E konuşmak dikkat etmek gerekmek toplum huzur ahlak bişey varmak
Pozitif,bugün Bursaspor Trabzonspor maç Nijerya Mill tak nwakaemeyi izlemek Mill tak oynamak de arzulamak nwakaemeden bahsetmek kral bugün 2 gol 1 asist yapar rahat o maç biz
Pozitif,acımasız olmak şimdi kadar
Negatif,3 saat kal uyuyamıyorum feels geçirirken ölmek inşallah
Negatif,od arkadaş aile Kürtçe konuşmak ummak ben sövmek
Negatif,yine istemek bilmek vaziyet içeri biri çekmek kurtarmak durum
Negatif,zaten pek fazla ihtimal kalmak
Negatif,bun Anı itlâf etmek lazım As eğitmek
Negatif,gokhan bey biz normal vatandaş iş baş Aşkın fabrika yâd bağdamak bahçe zaman bol o 5 kene asalak seçkin elit tak varmak bun görmek on zaten bun istemek ses çıkmak
Negatif,yarmak Çocuk gibi göz ayırmak ayar yok La bun
Negatif,Kumbahçe mahalle sakal Sokak şebek hat patlamak su boş akmak ayrıca Sokak pis İlgi yeni Yönet duyurmak
Pozitif,kalp gümgüm atmak sen bir Mi olmak kafa yemek
Negatif,kadar olumlu düşünmek istemek olumsuz o çıkıyor
Pozitif,yolunmak U varmak düşünmek beyhude bir çaba ibaret se Sade atmak ilk adım düşünmek yüküm geri zaten kendiliğinden gelmek
Negatif,say bakan gida Tarim hayvancilik bakanliginin 10 00 personel talep hala onaylamak yerli üreti Me Büyük bi R i hanetti R karmak tablo fazla parçasi olmamaniz ümi di yle
Negatif,ara hoş gelmek kuyu papağan
Negatif,şua saçmak stil memleket gitmek kesmek vurmak ben olmak abi sakat bırakmak sonra dükkân götürmek kesmek
Negatif,küçük ABD tamam sonuç i sraili korumak kurul bir üs on demek istemek
Negatif,yoksa kaçırmak tehtit Mi etmek utanmak kibir zaten yazmak şimdi beceriksiz Binali bey istemek istemek Ö düş i stanbul il teşkilât uzun zaman bitik durum
Pozitif,Umut pavyon varmak ora yemek geçmek hafta
Negatif,asmak Me seçim değmek hallolmak şüphe yok etmek şekil yeniden yapılır bitmek Me ülke ön Gerçek Büyük sorun varmak yakın gelmek şey gebe
Negatif,telefon aciyoruz ilgilenmek sorun çozen varmak Alibaba mah 5018 Sokak tozmak Toprak kirsal köy yol degil ilgilenmek kim umur olacak Sokak baskanim bilgin olmak Birim bi haber Hersey kac kere beyaz masa Yi aradik
Negatif,oynamak Deva dimi faul bile yok sarı
Negatif,böyle bir ihtimal olabilir Mi
Pozitif,kafa koymak yapmak görmek normal dönmek böyle olmak Deva edecem
Negatif,kopek giren ev Melek girmek demek Çin astroloji görmek köpek yıl doğmak koruyucu Melek olmaz zaten kendi bizzat kendi tur maddî olmak koruyabilecek marifetdeymis biz kötü olarak anlatilanlar kötü değmek Sade eksikligimizmiş
Negatif,önce bütün oylari bi R saysadiydiniz sonra geçer Z bakardiniz
Negatif,teneke parlamak çeyrek alt eder Mi
Negatif,eski sevgili arkadaş olunmaz söylemek sevgili olay bağlamak
Pozitif,toplam gol üst 2 5 1 62 i tak gol Atar evet 1 55 Çat Çat çatt kazandi
Pozitif,yiğit hoca vak Türk telekom sormak demek sorun varmak sormak hoca
Negatif,ben M kardeş M ben M amcaoğlu derken se H gülmek laf çaktirdin bi Ri di yormak bi le demek ği Ni Me demek ği Ni N farkinda si Z bun sema deği l damla laf sokmak bayağ zeki bi Ri si si Ni Z Ci D
Pozitif,keşke çirkin olmak zaman şans Olur
Pozitif,Abidin handan koltuk İlgi şaka Gerçek beğenmek
Negatif,Hocalar Sade ders üzeri durmak ders geçmek ahlak dü hicbiri önem değmek al siz Sade ders örnek
Pozitif,varmak Captain Marvel izlemek aile ara izlemek görüm izlemek şimdi bida zor anabell Mi izlemek gıukugkubjk
Negatif,sıklıkla yaşadığm iç bir muhakeme birinci içmek ses fark Allah haketmek hâl se istemek mahcubiyet i kinci içmek ses tamam Sadullah on başka istemek Rab binmek on öte gitmek kap varmak i nanç
Negatif,telekom ruyaniz kâbus olacak
Negatif,diyanet i Ş başkan Kuran girmek kalp karmak bir kalp bir açıklamak hristiyan Musevî vatandaş vergi çalışan bir kuru baş olarak açıklamak tam bir gaflet
Negatif,sevgili dost Duygu kontrol edilir varmak bir Hack
Negatif,bugün kânun Büyük sinek delmek geçmek küçük takılmak kalmak bir örümcek ağ gibi
Pozitif,fahiş fiyat yapilmiş o önce araç ihale yer yapilacak Uygu ihale demek
Pozitif,anne gün sağ kıymet bilmek Mut olmak anne seslenmek allahtan sabır dilemek emo_neg rahmet rahman kavuşmak başta sevgili anne olmak üzere hepsi ruh el fatiha elbet Seven gönül sevmek haşrolacak elhamdülillah
Negatif,söz kısmak yalı çocuk kaybetmek maç hazmetmek Nasrettin hoca demek göl maya tutarmı tutar
Pozitif,kuşku yok yapmak doğru kendi vazgeçilmez sanmak insan uzaklaşmak olmak
Negatif,tarih bugün 13 nisan1994 tarih radyotelevizyon üst kuru kurul
Negatif,kimse kusur bakmak Bjk taraftar Gomis le dalga geçmek kendi ara tokatlamak bun ibne meşru
Negatif,i mamoğluna yapılanlarla Galatasaray yapılanmak oyun se ayn olmak düşünüyorum unutmak bişey varmak Allah adalet varmak se baş yapmak bildiriyide tükürdüklerinide unutmak tebrik
Negatif,beyin yok fikir tebrik yaşamak nasil başarmak Hayret doğru
Negatif,kuru arşiv gelenek hemen yok memleket daha arşivlemek korkmak bile kuru
Negatif,bun sonra Caner e bok atmak bi anlam yok Adriano kafa bitirmek Beşiktaş I
Negatif,garantı yukseliş Onay bırde işc yukseliş Onay gelir
Negatif,öğle önce olmak teyze fena zarar etmek kuyumcu mükemmel kâr el etmek
Negatif,uzak düş kendi ak fikir
Negatif,güzel kız bile kısa olmak yakınmak yakışıklı erkek sık söylemek zeki fizik beğenmek imam inan sorgu asker cesaret süphe eder cehennem varmak böyle olmak sürek eksik yüz bir sonsuz
Negatif,ben bun düşünüyorum hayvan ufak bile olmak denet geçmek Hadi geçmek satmak âlâ Mi farketmek değişik geliyor ben durum kafa yatmak açık kene olay birden çıkmak birden hasta türemek başlamak
Negatif,i sminin yan kul ad yaz yarmak sınav bence ahsjjdkf
Negatif,bun 2 se önce gulmemis Mi
Negatif,Ay şarzla alaka bi Tweet görmek lan şarzım 8 bok yicem
Negatif,As insan yaralarýný göstermek Cunku sen vurmak istemek ilk yemek orasý oluyor
Pozitif,bir guzellik bir Sex
Pozitif,yürümek Bee yoldaş işte parti kur oy vere
Pozitif,dün akşam içim ezmek ezmek çinko Çocuk okumak başlamak bugün yazmak Çocuk kitap Ö güzel örtüşmek bir ant iki kitap bir tanıtım yazı dönmek cuma gün Kirk çıkıyor yazı ummak beğenmek
Negatif,ben geçmek gün tutkal sormak eczane tutkal alaka sormak
Negatif,ben on unutmak klip hatırlıyom oluyo
Negatif,ileri değmek yakın zaman ev eş bi şey istemek ev Arab Fas fiso zengin olmak yetmek
Negatif,alt varmak ister orda net an karakter
Negatif,herşey rağmen sezon ilk maç tehlike hele bir alt lig yeni çıkmak takim deplasmanindaysaniz hata kabul etmek birden fazla yapmak Rakîb hafif aldik yanlış kadro yanlış değişik hata Deva et önem o ders cikarilsin
